Stop_ID,Latitude,Longitude,Address
226,53.391182,-6.262017,"Saint Marys, Shanard Ave, Whitehall, Dublin 9, Ireland"
227,53.391087,-6.251322,"Rushbourne, Shanliss Rd, Whitehall, Dublin 9, Ireland"
228,53.391804,-6.259799,"135-153 Shanliss Rd, Santry, Dublin, Ireland"
229,53.391335,-6.25653,"63-117 Shanliss Rd, Santry, Dublin, Ireland"
230,53.389858,-6.249222,"5-13 Shanliss Rd, Whitehall, Dublin, Ireland"
231,53.389191,-6.246041,"252-256 Swords Rd, Whitehall, Dublin, Ireland"
232,53.387901,-6.236935,"Shantalla Road, Whitehall, Dublin, Ireland"
233,53.385738,-6.233653,"Beaumont Filling Station, Beaumont Rd, Beaumont, Dublin 9, Ireland"
234,53.385014,-6.234819,"91-93 Beaumont Rd, Dublin, Ireland"
235,53.383366,-6.237344,"The Harrow, Beaumont Rd, Beaumont, Dublin 9, Ireland"
236,53.382122,-6.238261,"Saint Martin, Beaumont Rd, Beaumont, Dublin 9, Ireland"
237,53.382107,-6.243485,"Collins Ave W, Whitehall, Dublin, Ireland"
242,53.385544,-6.23198,"Saint Bridgids, Beaumont Rd, Beaumont, Dublin 9, Ireland"
243,53.385658,-6.229529,"149-151 Beaumont Rd, Beaumont, Dublin, Ireland"
244,53.384922,-6.223496,"56A Elm Mount Rise, Beaumont, Dublin 9, D09 W6K4, Ireland"
245,53.38443,-6.219553,"39 Whitethorn Cres, Beaumont, Dublin, Ireland"
246,53.385151,-6.216212,"199 Kilmore Rd, Beaumont, Dublin, Ireland"
247,53.386875,-6.214498,"176-186 Ardlea Rd, Beaumont, Dublin, Ireland"
248,53.385651,-6.214433,"2-32 Maryfield Dr, Beaumont, Dublin, Ireland"
249,53.384956,-6.216258,"199 Kilmore Rd, Beaumont, Dublin, Ireland"
250,53.38448,-6.220228,"32 Beauvale Park, Beaumont, Dublin 5, D05 W6W4, Ireland"
251,53.384872,-6.223235,"8 Elm Mount Cres, Beaumont, Dublin 9, D09 HE43, Ireland"
252,53.385609,-6.227947,"177-179 Beaumont Rd, Beaumont, Dublin, Ireland"
253,53.38995,-6.224378,"24 Montrose Dr, Beaumont, Dublin 5, D05 H527, Ireland"
